column,observed_count,missing_count,missing_fraction,mean,std,median,q25,q75,min,max,transform,center,scale,negative_count,gt_one_count
hle/hle/hle__673c138655928a6b1b360ada,16,0,0.0,0.725,0.36657195746537946,1.0,0.35000000000000003,1.0,0.0,1.0,identity,1.0,0.6499999999999999,0,0
hle/hle/hle__673cd3821cf7bd0b7cc91fe5,16,0,0.0,0.0125,0.04841229182759271,0.0,0.0,0.0,0.0,0.2,identity,0.0,0.04841229182759271,0,0
hle/hle/hle__673cf4fe0a06bbe311425068,16,0,0.0,0.3875,0.4270172713134681,0.2,0.0,0.8500000000000001,0.0,1.0,identity,0.2,0.8500000000000001,0,0
hle/hle/hle__673e53fe9c1787f33fd0b965,16,0,0.0,0.6375000000000001,0.38222212128551636,0.8,0.35000000000000003,1.0,0.0,1.0,identity,0.8,0.6499999999999999,0,0
hle/hle/hle__673e64979c1787f33fd0b983,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.0,1.0,0,0
hle/hle/hle__673e66f59f77eeca0292a3b8,16,0,0.0,0.75,0.3122498999199199,0.9,0.55,1.0,0.2,1.0,identity,0.9,0.44999999999999996,0,0
hle/hle/hle__674268ee74c0719a829dfbb1,16,0,0.0,0.5125,0.4414110895752394,0.7,0.0,1.0,0.0,1.0,identity,0.7,1.0,0,0
hle/hle/hle__67428dcab53462ceeb83c6f6,16,0,0.0,0.75,0.32787192621510003,1.0,0.55,1.0,0.0,1.0,identity,1.0,0.44999999999999996,0,0
hle/hle/hle__6742fe5ea2e78a79e46bb220,16,0,0.0,0.037500000000000006,0.10532687216470449,0.0,0.0,0.0,0.0,0.4,identity,0.0,0.10532687216470449,0,0
hle/hle/hle__6747df97a3299f69eec20468,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.0,1.0,0,0
hle/hle/hle__6747e0eaaa7f6182ef02efb4,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.0,1.0,0,0
hle/hle/hle__674818a0d2dbfbb2e99bd257,16,0,0.0,0.4875,0.3805834336909582,0.4,0.2,0.8,0.0,1.0,identity,0.4,0.6000000000000001,0,0
hle/hle/hle__67483a7928f6e886b0c6be8b,16,0,0.0,0.0875,0.24462982238476158,0.0,0.0,0.0,0.0,1.0,identity,0.0,0.24462982238476158,0,0
hle/hle/hle__67487e955830790e3687a567,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.0,1.0,0,0
hle/hle/hle__674de217b314a9bd4e0aa7c1,16,0,0.0,0.07500000000000001,0.15612494995995993,0.0,0.0,0.05,0.0,0.6,identity,0.0,0.05,0,0
hle/hle/hle__67585c37f63ce118cee04572,16,0,0.0,0.2625,0.15360257159305635,0.2,0.2,0.4,0.0,0.6,identity,0.2,0.2,0,0
hle/hle/hle__675aa6e703e9471764dfedd2,16,0,0.0,0.4125,0.43283224232951967,0.30000000000000004,0.0,1.0,0.0,1.0,identity,0.30000000000000004,1.0,0,0
hle/hle/hle__675c41c7fbd66ff2e12f23c0,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.0,1.0,0,0
hle/hle/hle__676762beff30b300db258691,16,0,0.0,0.0125,0.04841229182759271,0.0,0.0,0.0,0.0,0.2,identity,0.0,0.04841229182759271,0,0
hle/hle/hle__6769bce8a4435c3c69035510,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.0,1.0,0,0
hle/hle/hle__676d66a775870eef1bf0f9ce,16,0,0.0,0.025,0.09682458365518543,0.0,0.0,0.0,0.0,0.4,identity,0.0,0.09682458365518543,0,0
